comment,list of emojis,sentiment ranking,classification
الدول العربية الي نهار ومطال وهما يسبو فيها هما السند للمغرب ودوك دول الجوار هما شر للمغرب دايماً يحفرو لينا قالك دول الشقيقة المغاربية لا اخوتي ماشقيقة ماشفيقة حنا ولاد ضرتهم معمرهم بغاونا 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
منافقين الفلسطنين فين كانت 😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
بالدعاء 😂😂😂,"['😂', '😂', '😂']",0.221,Positive
❤️❤️,"['❤', '❤']",0.746,Positive
فلسطين : 🙈🙉🙊,"['🙈', '🙉', '🙊']",0.41133333333333333,Positive
المغرب أول بلد عتارف بالولايات 🇲🇦❤️المتحدة، تاريخ ومجد كبير,"['🇲', '🇦', '❤']",0.439,Positive
شاهد فلسطيني يرفض حرق علم المملكة المغربية 😂😂😂😂😂 🇲🇦🇲🇦🇲🇦🇲🇦,"['😂', '😂', '😂', '😂', '😂', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.26069230769230767,Positive
فينكم ا جيران 😒 ههههه دبا يقول ليكم نسيتونا,['😒'],-0.375,Negative
الخليج ديما مع المغرب الحب لا ينتهي ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤', '❤']",0.7460000000000001,Positive
صحراءنا مغربية مأصلة بحكم حقيقة التاريخ و امتداد الجغرافية احب من أحب و كره من كره و نحن على  بعد خطوات لإعطاء الضربة القاضية (ضربة علي كلاي الله يرحمو)  لاعداءنا و خصومنا  المجد لمغربنا و وحدته الترابية من طنجة إلى الكويرة 👍👍👍,"['👍', '👍', '👍']",0.522,Positive
🔥❤️❤️😂,"['🔥', '❤', '❤', '😂']",0.46325000000000005,Positive
L'algéri wa ma jawaraha li 9rab ma3alabalhoumch 🤣🤣🤣🤣@kenzabenabdellah  @zinebmakrati,"['🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
🤣🤣🤣🤣🤣,"['🤣', '🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
السنغال 🇸🇳,"['🇸', '🇳']",0.2635,Positive
Walou jirane?🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
مكنتش 😁,['😁'],0.45,Positive
Hhh mama kant ba9a sghiwra salwtha ma3tatnich khbar makynch m3mn🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
ماما عاد تولدات😍,['😍'],0.678,Positive
للأسف نتدكرهم يوم واحد فقط  أين نصيبهم من الأوسمة والمساهمات المالية ورعاية صحتهم هم من يستحقون فعلا الرعاية بشتا انواعها والأوسمة فالكلام لايشبع البطون فأجورهم لا تصل 1000درهم ✌️,['✌'],0.464,Positive
تحيا الجدودن❤️❤️❤️❤️❤️❤️,"['❤', '❤', '❤', '❤', '❤', '❤']",0.746,Positive
ماما كانت يلاه خلقت 😂😂,"['😂', '😂']",0.221,Positive
مزال كاع متزوج لواليد بلواليدة ولكن جدي مشا ليها 💚,['💚'],0.659,Positive
كانت ماما وبابا عاد كيدوزو شهر العسل 🤭,['🤭'],0.0,Objective / Non-conclusive
كنت في علم الغيب 😂,['😂'],0.221,Positive
فاللخر باقا أرض متنازع عنها 🤦🏻‍♂️,"['🤦', '🏻', '♂']",0.06666666666666667,Positive
حشمت نجاوبك فين كنت😂👣,"['😂', '👣']",0.2915,Positive
Mama ouba9i matzadtch😂,['😂'],0.221,Positive
Alah a3lam 😂,['😂'],0.221,Positive
kent sperm 😂😂,"['😂', '😂']",0.221,Positive
الله اكبر ههه عوض منتحدو كنخربو بعضيتنا 😖😖عيييب بحال هاكا عمرنا نتقدمو,"['😖', '😖']",-0.157,Negative
المغرب قاهر الأعداء 🇲🇦🇲🇦🇲🇦,"['🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.2855,Positive
ويمكرون ويمكر الله والله خير الماكرين .صدقو لا مشاريع لا فلوس تخويرة دوفاص 😂,['😂'],0.221,Positive
Lah ichafihom 🙏,['🙏'],0.418,Positive
كون غير ستثمرها في بلادو ...ماديرش فبالك اسي الرئيس ان شالله تتعوض 😂😂😂,"['😂', '😂', '😂']",0.221,Positive
اوا موت غي فسمك 😠,['😠'],-0.302,Negative
😂😂😂😂😂😂🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,"['😂', '😂', '😂', '😂', '😂', '😂', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.26131249999999995,Positive
🇲🇦واحل ليهم ف القرجوتة,"['🇲', '🇦']",0.2855,Positive
لي حفر شي حفرة كيطيح فيها😂 ولابد السحر ينقلب على الساحر,['😂'],0.221,Positive
عذرك اقبح مِن زلتك زعما لقيتي ليها تخريجة لمكرمص اللي قالها ليك دير بيها مشاريع تنموية نمي بلادك ونتا تابعنا هانتا جلستي على واحد كوزيمار هو هداك🤣🤣🤣,"['🤣', '🤣', '🤣']",0.0,Objective / Non-conclusive
سيرو زرعو غا البنان امساخيط الواليدن 😂😂,"['😂', '😂']",0.221,Positive
😏,['😏'],0.332,Positive
😂😂😂,"['😂', '😂', '😂']",0.221,Positive
Ar3ad 😂😂😂😂😂,"['😂', '😂', '😂', '😂', '😂']",0.221,Positive
كنتمناو شيفاء العاجل لتبون راه غنتوحشو نوكاتو خرايفو هو شعبو التبوني😂ا,['😂'],0.221,Positive
😮👏👏,"['😮', '👏', '👏']",0.44,Positive
واش هاد الجملة صحيحة بالعربية؟ شحال كاين من فعل وفاعل وعلى من يعود كل فعل؟ 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,"['🤦', '♀', '🤦', '♀', '🤦', '♀', '🤦', '♀']",0.1665,Positive
أخلاق ملك ابن ملك🇲🇦❤️,"['🇲', '🇦', '❤']",0.439,Positive
محمد السادس حفظه الله ❤❤❤,"['❤', '❤', '❤']",0.746,Positive
الكريم ابن الكريم ابن الكريم❤️❤️❤️,"['❤', '❤', '❤']",0.746,Positive
😂😂😂😂 حنا مخاصمين معاهم ف مواقع التواصل والملك كيصيفط ليه البرقية أن شاء الله داك تبون اموت حنا مالنا,"['😂', '😂', '😂', '😂']",0.221,Positive
الله يشافي تبون صاحب المنظومة الصحية الأكثر تطورا في العالم العربي 🙏,['🙏'],0.418,Positive
عاش الملك الله يحفظه و يخليه لينا ❤️❤️❤️🇲🇦🇲🇦🇲🇦,"['❤', '❤', '❤', '🇲', '🇦', '🇲', '🇦', '🇲', '🇦']",0.43899999999999995,Positive
😍,['😍'],0.678,Positive
ملكنا الغالي جمع كل الصفات الحسنة من شهامة وأخلاق الشرفاء اللهم احفظه لنا كما حفظت الذكرى الحكيم 😍,['😍'],0.678,Positive
السلطان ديانا كيخشيلو الهضرة غير بالعف 😂😂😂 زعما عندك احسن منظومة صحية عربيا وافريقيا وهاتينا دبا قولوم يعالجوك 😹,"['😂', '😂', '😂', '😹']",0.20125,Positive
✌️,['✌'],0.464,Positive
😂,['😂'],0.221,Positive
Lah ichafik a taboun💪,['💪'],0.556,Positive
صافي جاتو سكته قلبيه😂,['😂'],0.221,Positive
الله يحفظ لينا بلادنا وملكنا 🇲🇦🤲,"['🇲', '🇦', '🤲']",0.19033333333333333,Positive
🤮🤮🤮🤮🤮,"['🤮', '🤮', '🤮', '🤮', '🤮']",0.0,Objective / Non-conclusive
التبون شكون يكرهو ولا يبغيلو ااضرر😂😂😂😂,"['😂', '😂', '😂', '😂']",0.221,Positive
ترابي و صواب ديال الملوك 👑,['👑'],0.701,Positive
والله محضرت لواحد العراسية طايح كثر من النايض 😂😂😂 وتقول شي كمامةكدور من غير خالت العروسة الوحيدة لي بانتلي دايراها وانا نقولها معندي مانتسالك راكي متبعة الوقاية وهي تجاوبني لا ابنتي راني كنقي فمي علامة نركب الفم 😂😂😂😂 صدمتني,"['😂', '😂', '😂', '😂', '😂', '😂', '😂']",0.22100000000000003,Positive
نعم خاص التواصل مع المواطنين  وتحسيسهم ...😮,['😮'],0.278,Positive
مرحبا بكم عندي فالصفحة🔥🔥🔥,"['🔥', '🔥', '🔥']",0.14,Positive
👍👍👍,"['👍', '👍', '👍']",0.522,Positive
فعلا هدروا معانا. والوا نادا الصقيل. اضرب راسك مع الحايط، اطلع للرباط و اشكي🤣🤣,"['🤣', '🤣']",0.0,Objective / Non-conclusive
🙏👍👍👍👍👍,"['🙏', '👍', '👍', '👍', '👍', '👍']",0.5046666666666667,Positive
❤️,['❤'],0.746,Positive
At7lo l7mamat 😂,['😂'],0.221,Positive
ان الناس لا يبالون و لا يحتاطون 😪😷,"['😪', '😷']",-0.126,Negative
🔴🔴بعيداً عن كورونا لي الغني قبل الفقير كا يقولك بلي كذووووب.. لي النخبة قبل العامة كا يقولك هادي مسرحية مخزنية..تقول وهان كاينة حدا شتوكة آيت باها.. بغيت غااا نعرف شنو عندكم معا الحمام.. حيت فرق كبيييير بين حمام عمومي وحمام جماعي.. راه دااز وقت بنادم يغسل حدا الواد لي داز يتمنظر فيه ويمكن يتعدا عليه وخا يتلف ليه غااا حوايجوا يخلي خارج زبط.. داروا ليهم الحمام محضي طرونكيل ووصلوا ليه الماء والدفئ.. دبا لاش بنادم عزيز عليه يمشي يتعرا على الجماعة.. وشي يغسل وسخوا على شي.. بلا الذنوب ديال حضيني نحضيك.. وشي يضحك على شي ويبلغ بيه.. ويصورو گاع ويلوحوا فالواتس.. المغاربة دخلوا البخاري ومسلم فكلشي إلا  فالحمام الجماعي.. ما داوياش على الحمام العمومي لي كل واحد يتحمم بوحدو مستور..,"['🔴', '🔴']",0.422,Positive
ولد اليوعري يستاهل 💚,['💚'],0.659,Positive
🇲🇦💚🦅,"['🇲', '🇦', '💚', '🦅']",0.3075,Positive
Plz matchodch lina f rahimi rah wlyd nadi kikwr 😂,['😂'],0.221,Positive
💚💚💚,"['💚', '💚', '💚']",0.659,Positive
الله يكمل ليه بالخير والله يحفظه ومرضي الوليدين معمرو يخيب 👍🏻💚,"['👍', '🏻', '💚']",0.39366666666666666,Positive
أسبحالله 😂 وليتي كاتفهم فالكورة 😂😂🐒,"['😂', '😂', '😂', '🐒']",0.30175,Positive
💪💪🦅🦅,"['💪', '💪', '🦅', '🦅']",0.278,Positive
